kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
10811496,K00753.01,,FALSE POSITIVE,0,0,1,0,0,19.89913995,175.850252,0,,0.969,1.7822,,10829,0.154046,7.29555,LS+MCMC,14.6,0.1419,88.96,638,39.3,53.5,5853,4.544,-0.18,0.868,0.961,,15.436
10848459,K00754.01,,FALSE POSITIVE,0,0,1,0,0,1.736952453,170.307565,0,,1.276,2.40641,,8079.2,0.387394,0.2208,LS+MCMC,33.46,0.0267,67.09,1395,891.96,3.278,5805,4.564,-0.52,0.791,0.836,,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,1,0,0,0,0,2.525591777,171.59555,0,,0.701,1.6545,,603.3,0.024064,1.98635,LS+MCMC,2.75,0.0374,85.41,1406,926.16,8.75,6031,4.438,0.07,1.046,1.095,,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,1,0,0,0,0,11.09432054,171.20116,0,,0.538,4.5945,,1517.5,0.036779,0.67324,LS+MCMC,3.9,0.0992,88.11,835,114.81,16.36,6046,4.486,-0.08,0.972,1.053,,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,1,0,0,0,0,4.13443512,172.97937,0,,0.762,3.1402,,686,0.026133,0.37377,LS+MCMC,2.77,0.0514,83.72,1160,427.65,6.96,6046,4.486,-0.08,0.972,1.053,,15.714
9579641,K00115.03,,CANDIDATE,0.871,0,0,0,0,3.43591631,132.6624,0,,0.624,3.133,,23.2,0.004612,0.47024,LS+MCMC,0.55,0.0437,84.62,1272,617.61,6.65,5779,4.339,-0.06,1.087,0.941,,12.791
10872983,K00756.03,Kepler-228 b,CONFIRMED,0.992,0,0,0,0,2.56658897,179.55437,0,,0.755,2.429,,226.5,0.014983,0.48909,LS+MCMC,1.59,0.0374,82.17,1360,807.74,5.54,6046,4.486,-0.08,0.972,1.053,,15.714
5436502,K00834.01,Kepler-238 e,CONFIRMED,0.999,0,0,0,0,23.65369415,171.376107,0,,0.008,8.2183,,3341.8,0.05219,0.41907,LS+MCMC,7.89,0.1658,89.98,731,67.65,23.142,5739,4.191,0.3,1.384,1.083,,15.084
5436502,K00834.02,Kepler-238 d,CONFIRMED,0.996,0,0,0,0,13.23352214,140.32196,0,,0.014,6.7372,,504.6,0.020278,0.3884,LS+MCMC,3.06,0.1126,89.95,888,146.67,15.32,5739,4.191,0.3,1.384,1.083,,15.084
5436502,K00834.03,Kepler-238 c,CONFIRMED,0.997,0,0,0,0,6.15560285,134.81656,0,,0.235,4.9843,,285,0.015336,0.40662,LS+MCMC,2.32,0.0676,88.56,1146,406.94,9.34,5739,4.191,0.3,1.384,1.083,,15.084
5436502,K00834.04,Kepler-238 b,CONFIRMED,1,0,0,0,0,2.090811305,134.17462,0,,0.746,3.388,,115.9,0.010686,0.1588,LS+MCMC,1.62,0.0329,77.03,1642,1718.04,3.32,5739,4.191,0.3,1.384,1.083,,15.084
5436502,K00834.05,Kepler-238 f,CONFIRMED,0.989,0,0,0,0,50.4467417,178.5014,0,,0.379,7.159,,370.3,0.01767,0.97794,LS+MCMC,2.67,0.2747,89.57,568,24.64,50.9,5739,4.191,0.3,1.384,1.083,,15.084
9471974,K00119.01,Kepler-108 b,CONFIRMED,0.959,0,0,0,0,49.18394185,141.911924,0,,0.035,11.3364,,1646.2,0.036501,0.31666,LS+MCMC,8.2,0.2829,89.94,669,47.4,34.34,5626,3.907,0.36,2.057,1.247,,12.654
5456651,K00835.01,Kepler-239 b,CONFIRMED,1,0,0,0,0,11.76307164,180.93613,0,,0.048,2.9076,,1037.3,0.028519,4.37951,LS+MCMC,2.35,0.0954,89.91,616,33.99,31.76,4959,4.603,0.16,0.756,0.849,,15.208
7907423,K00899.03,Kepler-249 d,CONFIRMED,0.998,0,0,0,0,15.36845737,147.38965,0,,0.115,2.4714,,756.1,0.02471,9.06854,LS+MCMC,1.11,0.0922,89.86,332,2.86,48.38,3561,4.855,0,0.411,0.44,,15.234
7938496,K00900.01,Kepler-1730 b,CONFIRMED,1,0,0,0,0,13.81020318,172.33533,0,,0.791,3.048,,1309.7,0.036595,1.23716,LS+MCMC,4.56,0.1131,88.04,833,113.75,23.2,5942,4.327,-0.04,1.142,1.009,,15.425
8013419,K00901.01,,CANDIDATE,1,0,0,0,0,12.73262407,176.939054,0,,0.811,2.2083,,6465.7,0.082519,3.68779,LS+MCMC,4.87,0.0881,88.53,432,8.22,31.62,3950,4.721,-0.14,0.541,0.563,,15.75
8018547,K00902.01,,CANDIDATE,0.966,0,0,0,0,83.92494032,236.76334,0,,0.658,6.7904,,7958.7,0.086015,1.45972,LS+MCMC,4.78,0.3031,89.54,226,0.62,81.6,3960,4.746,-0.36,0.509,0.526,,15.754
8039892,K00903.01,Kepler-719 b,CONFIRMED,1,0,0,0,0,5.007316661,173.433997,0,,0.344,4.2362,,6932.3,0.077106,0.59565,LS+MCMC,6.96,0.0556,87.87,998,234.28,9.24,5865,4.563,-0.34,0.827,0.914,,15.813
5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,0,1,0,0,0,33.80364366,202.259731,0,,0.023,11.4813,,13494.4,0.105539,0.25463,LS+MCMC,20.7,0.216,89.95,745,72.71,24.869,5855,3.999,0.16,1.796,1.174,,13.109
8150320,K00904.01,Kepler-55 d,CONFIRMED,1,0,0,0,0,2.211116989,170.150139,0,,0.69,1.6485,,724.2,0.026289,1.85398,LS+MCMC,1.85,0.0294,84.94,931,177.19,7.83,4500,4.656,-0.02,0.646,0.71,,15.791
8561063,K00961.02,Kepler-42 c,CONFIRMED,0,0,1,0,0,0.453287416,133.869741,0,,0.81,0.4445,,1461.5,0.046729,13.25728,LS+MCMC,0.76,0.0059,81.11,729,66.14,5.24,3292,5.215,-0.42,0.148,0.132,,15.92
